year,month,half,condition,training,failure_rate,flag_success,flag_failure
2,3,前半,絶好調,スピード,0.05,1,0
2,5,前半,普通,賢さ,0.05,0,1
2,6,前半,普通,スピード,0.05,1,0
2,6,後半,普通,賢さ,0.05,1,0
2,7,前半,普通,根性,0.05,1,0
2,7,後半,普通,スタミナ,0.05,1,0
2,8,後半,好調,スタミナ,0.05,1,0
2,9,前半,好調,賢さ,0.05,1,0
2,9,後半,好調,賢さ,0.05,1,0
3,8,後半,絶好調,スピード,0.05,1,0
1,0,デビュー前,好調,パワー,0.05,1,0
2,3,後半,絶好調,スピード,0.05,1,0
2,6,前半,好調,スタミナ,0.05,1,0
2,7,前半,絶好調,スタミナ,0.05,1,0
2,7,後半,絶好調,賢さ,0.05,1,0
2,8,前半,絶好調,賢さ,0.05,1,0
2,8,後半,絶好調,スピード,0.05,1,0
2,9,前半,絶好調,スピード,0.05,1,0
2,10,前半,絶好調,根性,0.05,0,1
3,11,前半,絶好調,スピード,0.05,1,0
2,3,後半,好調,スピード,0.05,1,0
2,4,後半,好調,スピード,0.05,1,0
2,7,前半,絶好調,スピード,0.05,1,0
2,7,後半,絶好調,スピード,0.05,1,0
2,8,前半,絶好調,賢さ,0.05,1,0
2,8,後半,絶好調,スピード,0.05,1,0
2,9,後半,絶好調,スピード,0.05,1,0
1,11,前半,絶好調,スピード,0.05,1,0
2,3,前半,絶好調,スピード,0.05,1,0
2,3,後半,絶好調,賢さ,0.05,1,0
2,5,前半,絶好調,パワー,0.05,1,0
2,5,後半,絶好調,スピード,0.05,1,0
2,6,後半,絶好調,賢さ,0.05,1,0
2,7,後半,絶好調,賢さ,0.05,1,0
2,8,前半,絶好調,賢さ,0.05,1,0
2,8,後半,絶好調,賢さ,0.05,1,0
2,9,後半,絶好調,スピード,0.05,1,0
2,10,前半,絶好調,賢さ,0.05,1,0
2,3,前半,好調　,賢さ,0.05,1,0
2,3,後半,絶好調,賢さ,0.05,1,0
2,4,前半,絶好調,スピード,0.05,1,0
2,6,前半,絶好調,賢さ,0.05,1,0
2,7,前半,絶好調,スピード,0.05,1,0
2,7,後半,絶好調,賢さ,0.05,1,0
2,8,前半,絶好調,スピード,0.05,1,0
3,8,後半,絶好調,賢さ,0.05,1,0
3,9,前半,絶好調,賢さ,0.05,1,0
3,9,後半,絶好調,賢さ,0.05,1,0
3,10,前半,絶好調,スピード,0.05,1,0
2,3,前半,絶好調,スピード,0.05,1,0
2,3,後半,絶好調,賢さ,0.05,1,0
2,4,前半,絶好調,賢さ,0.05,1,0
2,4,後半,絶好調,賢さ,0.05,1,0
2,5,前半,絶好調,賢さ,0.05,1,0
2,5,後半,絶好調,スピード,0.05,1,0
2,6,前半,絶好調,スピード,0.05,1,0
2,7,前半,好調,スピード,0.05,1,0
2,7,後半,好調　,パワー,0.05,1,0
2,8,前半,好調,賢さ,0.05,0,1
2,8,後半,好調,スピード,0.05,1,0
2,9,後半,絶好調,スピード,0.05,1,0
2,10,前半,絶好調,賢さ,0.05,1,0
2,3,前半,絶好調,スピード,0.05,1,0
2,4,前半,絶好調,スピード,0.05,1,0
2,4,後半,絶好調,賢さ,0.05,1,0
2,5,前半,絶好調,賢さ,0.05,1,0
2,5,後半,絶好調,賢さ,0.05,1,0
2,6,前半,絶好調,賢さ,0.05,1,0
2,6,後半,絶好調,賢さ,0.05,1,0
2,7,前半,絶好調,スピード,0.05,1,0
2,7,後半,絶好調,スピード,0.05,1,0
2,8,前半,絶好調,スピード,0.05,1,0
2,8,後半,絶好調,賢さ,0.05,1,0
2,9,後半,絶好調,スピード,0.05,1,0
2,10,前半,絶好調,スピード,0.05,1,0
2,4,前半,絶好調,賢さ,0.05,1,0
2,5,前半,好調,スピード,0.05,1,0
2,5,後半,好調,スピード,0.05,1,0
2,7,前半,絶好調,スピード,0.05,1,0
2,7,後半,絶好調,賢さ,0.05,1,0
2,8,前半,絶好調,スピード,0.05,1,0
2,8,後半,絶好調,賢さ,0.05,1,0
2,9,後半,絶好調,スピード,0.05,0,1
2,10,前半,好調,賢さ,0.05,1,0
2,3,後半,絶好調,賢さ,0.05,1,0
2,4,前半,絶好調,スピード,0.05,1,0
2,4,後半,絶好調,賢さ,0.05,1,0
2,5,前半,絶好調,スピード,0.05,1,0
2,5,後半,絶好調,スピード,0.05,1,0
2,6,後半,絶好調,賢さ,0.05,1,0
2,7,前半,絶好調,スピード,0.05,1,0
2,7,後半,絶好調,賢さ,0.05,1,0
2,8,前半,絶好調,スピード,0.05,1,0
2,8,後半,絶好調,賢さ,0.05,1,0
2,9,前半,絶好調,賢さ,0.05,1,0
2,9,後半,絶好調,賢さ,0.05,1,0
2,10,前半,絶好調,賢さ,0.05,1,0
2,3,前半,絶好調,賢さ,0.05,1,0
2,3,後半,絶好調,賢さ,0.05,1,0
2,4,後半,好調,賢さ,0.05,1,0
2,5,前半,好調,スピード,0.05,1,0
2,5,後半,好調,スピード,0.05,1,0
2,6,後半,絶好調,賢さ,0.05,0,1
2,7,前半,絶好調,賢さ,0.05,1,0
2,7,後半,絶好調,パワー,0.05,1,0
2,8,前半,絶好調,賢さ,0.05,1,0
2,8,後半,絶好調,賢さ,0.05,1,0
2,9,前半,絶好調,賢さ,0.05,1,0
2,9,後半,絶好調,スピード,0.05,1,0
2,10,前半,絶好調,賢さ,0.05,1,0
2,3,後半,絶好調,スタミナ,0.05,1,0
2,4,後半,絶好調,賢さ,0.05,1,0
2,5,前半,絶好調,スピード,0.05,1,0
2,6,後半,絶好調,スピード,0.05,1,0
2,7,前半,絶好調,賢さ,0.05,1,0
2,7,後半,絶好調,賢さ,0.05,1,0
2,8,前半,絶好調,スピード,0.05,1,0
2,8,後半,絶好調,賢さ,0.05,1,0
2,9,前半,絶好調,賢さ,0.05,0,1
2,9,後半,絶好調,賢さ,0.05,1,0
2,10,前半,絶好調,スピード,0.05,1,0
2,3,前半,絶好調,賢さ,0.05,1,0
2,3,後半,絶好調,スピード,0.05,1,0
2,4,後半,絶好調,スピード,0.05,1,0
2,5,前半,絶好調,賢さ,0.05,1,0
2,5,後半,絶好調,スピード,0.05,1,0
2,6,前半,絶好調,賢さ,0.05,1,0
